permno,comnam
10373.0,A M S REALSTAR INC
10374.0,DIGITAL METCOM INC
10375.0,T C F BANKING & SAVINGS F A
10375.0,T C F FINANCIAL CORP
10376.0,NATIONAL SANITARY SUPPLY CO
10377.0,CLIFF ENGLE LTD
10378.0,OVABLOC INC
10379.0,INTERNATIONAL GENETIC ENGR INC
10380.0,AMERICAN REPS CORP
10381.0,A N E F C O INC
10382.0,ASTEC INDUSTRIES INC
10383.0,CYTOGEN CORP
10384.0,RUDYS RESTAURANT GROUP INC
10385.0,A T N INC
10385.0,AMERICAN TELEMEDIA NETWORK INC
10385.0,A T N N INC
10386.0,NATIONAL REFERENCE PUBG INC
10386.0,N R P INC
10386.0,A T C COMMUNICATIONS INC
10386.0,A T C COMMUNICATIONS GROUP INC
10386.0,AEGIS COMMUNICATIONS GROUP INC
10387.0,WESTRONIX INC
10387.0,FLAGSHIP EXPRESS INC
10388.0,TRENWICK GROUP INC
10388.0,TRENWICK GROUP LTD
10389.0,NEECO INC
10390.0,GLOBAL HEALTH SYSTEMS INC
10390.0,G H S INC
10391.0,CENTURY FEDERAL S & L ASSN NM
10392.0,PEOPLES WESTCHESTER SAVINGS BAN
10393.0,NEWPORT NEWS SAVINGS S & L ASSN
10393.0,NEWPORT NEWS SAVINGS BK VA
10393.0,TIDEMARK BANCORP INC
10394.0,COSMETIC & FRAGRANCE CONC INC
10394.0,COSMETIC CENTER INC
10395.0,NAVIGATORS GROUP INC
10396.0,COMPUTER COMPONENTS CORP
10397.0,WERNER ENTERPRISES INC
10398.0,INTERLEAF INC
10399.0,AMERICAN SHIP & COMM CORP
10400.0,A P F ELECTRONICS INC
10401.0,AMERICAN TELEPHONE & TELEG CO
10401.0,A T & T CORP
10402.0,ARLEN PROPERTY INVS SBI
10402.0,A P I TRUST SBI
10403.0,WORLDS OF WONDER INC
10404.0,TRANSMEDIA NETWORK INC
10404.0,IDINE REWARDS NETWORK INC
10404.0,REWARDS NETWORK INC
10405.0,IVY MEDICAL INC
10406.0,CHOICE DRUG SYSTEMS INC
10406.0,CAPSTONE PHARMACY SERVICES INC
10406.0,PHARMERICA INC
10407.0,ALOETTE COSMETICS INC
10408.0,STUDENT AIDE CTRS AMERICA INC
10409.0,AMERICAN HEALTH COS INC
10410.0,JONES MEDICAL INDUSTRIES INC
10410.0,JONES PHARMA INC
10411.0,ROYCE LABORATORIES INC
10411.0,ROYAL LABORATORIES INC
10411.0,ROYCE LABORATORIES INC NEW
10412.0,GENICOM CORP
10413.0,ROYALPAR INDUSTRIES INC
10414.0,ELDEC CORP
10415.0,NUTMEG INDUSTRIES INC
10416.0,MICROBILT CORP
10417.0,ALLOY COMPUTER PRODUCTS INC
10418.0,A S A INTERNATIONAL LTD
10419.0,CREATIVE TECHNOLOGIES CORP
10420.0,RADVA CORP
10421.0,SKYWEST INC
10422.0,AUTOMATED LANGUAGE PROC SYS INC
10422.0,ALPNET INC
10423.0,SOUND ADVICE INC
10424.0,CLEVITE INDUSTRIES INC
10425.0,RYAN BECK & CO INC
10426.0,BANK OF SAN FRANCISCO HLDG CO
10426.0,SAN FRANCISCO CO
10427.0,CAPFILM INC
10428.0,AMERICAN TOB CO
10429.0,A S K COMPUTER SYSTEMS INC
10429.0,ASK GROUP INC
10430.0,COLLEGE PLANNING SYSTEMS INC
10430.0,C P S CORP PLANNING SVCS INC
10431.0,SOUTH CAROLINA FED SVGS BK COLU
10431.0,SOUTH CAROLINA FEDERAL CORP
10432.0,ARITECH CORP
10433.0,FERTILITY & GENETICS RESH INC
10434.0,L A GEAR INC
10435.0,FIRST FEDERAL CAROLINAS FA
10435.0,CAROLINA BANCORP INC NEW
10436.0,AMERICAN ZINC LEAD & SMLT CO
10436.0,AMERICAN ZINC CO
10437.0,REPUBLIC AMERICAN CORP
10438.0,HOME FEDERAL S & L ASSN SAN FRA
10438.0,HOME FEDERAL FINANCIAL CORP
10439.0,CELLULAR INC
10439.0,COMMNET CELLULAR INC
10440.0,WATERFORD GLASS GROUP PLC
10441.0,XYVISION INC
10442.0,K L L M TRANSPORT SVCS INC
10443.0,FLORIDA ROCK & TANK LINES INC
10443.0,F R P PROPERTIES INC
10443.0,PATRIOT TRANSPORTATION HLDG INC
10443.0,F R P HOLDINGS INC
