idx,name,permno,comnam
4936,BROWN CO,29911.0,BROWN COMPANY
4941,TEXAS CO,14736.0,TEXAS CO
4941,TEXAS CO,54682.0,TEXAS INTERNATIONAL CO
5055,DAHLBERG & COMPANY INC,28282.0,DAHLBERG ELECTRONICS INC
5055,DAHLBERG & COMPANY INC,28282.0,DAHLBERG INC
5068,MANITOWOC SHIP BUILDING CORP,51263.0,MANITOWOC CO INC
5083,VISKING CORP,22672.0,VISKING CORP
5111,SPALDING & BROS AG,17662.0,SPALDING A G & BROS INC
5111,SPALDING & BROS AG,22154.0,SPALDING A G & BROS INC
5132,SYMINGTON CO,14699.0,SYMINGTON CO
5132,SYMINGTON CO,14699.0,SYMINGTON GOULD CORP
5132,SYMINGTON CO,14699.0,SYMINGTON WAYNE CORP
5166,CRANE PACKING CO,20204.0,CRANE CO
5198,AMERICAN CYANAMID CO,23341.0,AMERICAN CYANAMID CO
5249,ELLIOTT DWIGHT A,23747.0,ELLIOTT CO
5252,PFAUDLER CO INC,27668.0,PFAUDLER PERMUITT INC
5252,PFAUDLER CO INC,27668.0,PFAUDLER PERMUTIT INC
5259,ROCKWOOD SPRINKLER CO MASSACHUSETTS,67417.0,ROCKWOOD HOLDING CO
5283,TRICO PRODUCTS CORP,77295.0,TRICO PRODUCTS CORP
5322,HAMMOND JR JOHN HAYS,40898.0,HAMMOND CO
5326,REMINGTON RAND INC,14525.0,REMINGTON RAND INC
5326,REMINGTON RAND INC,66342.0,REMINGTON RAND CORP
5332,BORDEN METHOD INC,16571.0,BORDEN CO
5332,BORDEN METHOD INC,16571.0,BORDEN INC
5348,OTIS ELEVATOR CO,13637.0,OTIS ELEVATOR CO
5354,GODFREY JR ELMORE M,39213.0,GODFREY CO
5368,LEECE NEVILLE CO,42411.0,LEECE NEVILLE CO
5381,ROHM & HAAS,23990.0,ROHM & HAAS CO
5399,GARDNER DENVER CO,22007.0,GARDNER DENVER CO
5422,BETHLEHEM STEEL CORP,10786.0,BETHLEHEM STEEL CORP
5422,BETHLEHEM STEEL CORP,38471.0,BETHLEHEM CORP
5427,PULLMAN CAR AND MFG CORP,14066.0,PULLMAN CO
5427,PULLMAN CAR AND MFG CORP,14066.0,PULLMAN INC
5427,PULLMAN CAR AND MFG CORP,68654.0,PULLMAN COMPANY
5441,SPALDING AND BROS AG,17662.0,SPALDING A G & BROS INC
5441,SPALDING AND BROS AG,22154.0,SPALDING A G & BROS INC
5472,MATHIESON ALKALI WORKS INC,13610.0,MATHIESON ALKALI WKS INC
5477,BYRON JACKSON PUMP COMPANY,19991.0,BYRON JACKSON CO
5554,PYLE NATIONAL CO,35641.0,PYLE NATIONAL CO
5591,DICTAPHONE CORP,42788.0,DICTAPHONE CORP
5602,SHAKESPEARE PRODUCTS CO,54367.0,SHAKESPEARE COMPANY
5617,CHRYSLER CORP,11260.0,CHRYSLER CORP
5622,WESTERN UNION TELEGRAPH CO,15325.0,WESTERN UNION TELEGRAPH CO
5622,WESTERN UNION TELEGRAPH CO,91461.0,WESTERN UNION CO
5625,CUDAHY PACKING COMPANY,11543.0,CUDAHY COMPANY
5625,CUDAHY PACKING COMPANY,11543.0,CUDAHY PACKING CO
5643,PIERCE ARROW MOTOR CAR COMPANY,13952.0,PIERCE ARROW MTR CAR CO
5643,PIERCE ARROW MOTOR CAR COMPANY,19465.0,PIERCE ARROW MTR CAR CO
5661,LIBBEY OWENS GLASS CO,18147.0,LIBBEY OWENS FORD GLASS CO
5661,LIBBEY OWENS GLASS CO,18147.0,LIBBEY OWENS GLASS CO
5679,HARNISCHFEGER CORP,32563.0,HARNISCHFEGER CORP
5679,HARNISCHFEGER CORP,32563.0,HARNISCHFEGER INDUSTRIES INC
5682,ATLAS POWDER CO,10620.0,ATLAS POWDER CO
5698,FOSTER WHEELER CORP,18112.0,FOSTER WHEELER CORP
5698,FOSTER WHEELER CORP,18112.0,FOSTER WHEELER LTD
5703,AMERICAN METER CO,27799.0,AMERICAN METER CO
5726,LIBBEY OWENS FORD GLASS CO,18147.0,LIBBEY OWENS FORD CO
5726,LIBBEY OWENS FORD GLASS CO,18147.0,LIBBEY OWENS FORD GLASS CO
5726,LIBBEY OWENS FORD GLASS CO,18147.0,LIBBEY OWENS GLASS CO
5739,ROYAL TYPEWRITIER COMPANY INC,21901.0,ROYAL TYPEWRITER INC
5772,THOMAS & BETTS CORP,38578.0,THOMAS & BETTS CORP
5779,UNION METAL MFG CO,78132.0,UNION METAL MANUFACTURING CO
5780,OXFORD PAPER CO,25427.0,OXFORD PAPER CO
5797,UNDERWOOD ELLIOTT FISHER CO,14875.0,UNDERWOOD ELLIOT FISHER CO
5799,WELLMAN CO,11384.0,WELLMAN INC
5799,WELLMAN CO,81956.0,WELLMAN INDUSTRIES INC
5807,DELCO REMY CORP,85646.0,DELCO REMY INTERNATIONAL INC
5814,WHITE MOTOR CO,19334.0,WHITE MOTOR CO
5814,WHITE MOTOR CO,19334.0,WHITE MOTOR CORP
5816,AMERICAN SAFETY RAZOR CORP,10022.0,AMERICAN SAFETY RAZOR CORP
5870,SIMMONS CO,14402.0,SIMMONS COMPANY
5887,CHICAGO PNEUMATIC TOOL CO,11164.0,CHICAGO PNEUMATIC TOOL CO
5889,MORISON INC,55213.0,MORRISON INC
5902,CINCINNATI MILLING MACHINE CO,22680.0,CINCINNATI MILLING MACHINE CO
5941,NEWPORT CO,19115.0,NEWPORT CO
5942,WEATHERHEAD JR ALBERT J,47933.0,WEATHERHEAD COMPANY
5957,BERGER BRUNO A,49438.0,BERGER HOLDINGS LTD
5960,ELLIOTT HARMON P,23747.0,ELLIOTT CO
5963,OWENS ILLINOIS GLASS CO,13661.0,OWENS ILLINOIS GLASS CO
5967,COMMERCIAL SOLVENTS CORP,15528.0,COMMERCIAL SOLVENTS CORP
5988,ABBOTT LAB,20482.0,ABBOTT LABS
5989,CUTLER HAMMER INC,16758.0,CUTLER HAMMER INC
5998,ADDRESSOGRAPH CO,18980.0,ADDRESSOGRAPH INTL CO
5998,ADDRESSOGRAPH CO,18980.0,ADDRESSOGRAPH MULTIGRAPH CORP
6024,REVERE COPPER & BRASS INC,17646.0,REVERE COPPER & BRASS INC
6041,MINNESOTA MINING & MFG,22592.0,MINNESOTA MINING & MFG CO
6043,CATERPILLAR TRACTOR CO,18542.0,CATERPILLAR TRACTOR INC
6044,RCA CORP,14090.0,R C A CORP
6078,LIBBEYOWENS FORD GLASS COMPANY,18147.0,LIBBEY OWENS FORD GLASS CO
6080,FAFNIR BEARING CO,39167.0,FAFNIR BEARING CO
6082,STANDARD PRESSED STEEL CO,27780.0,STANDARD PRESSED STL CO
6084,SCOTT PAPER CO,18032.0,SCOTT PAPER CO
6087,GLIDDEN CO,12132.0,GLIDDEN CO
6103,KEARNEY & TRECKER CORP,27749.0,KEARNEY & TRECKER CORP
6104,WHITE S DENTAL MFG CO,20597.0,WHITE DENTAL MFG CO
6104,WHITE S DENTAL MFG CO,20597.0,WHITE S S DENTAL MFG CO
6110,WARNER SWASEY CO,39626.0,WARNER & SWASEY CO
6134,FOX FILM CORP,14859.0,FOX FILM CORP
6137,HUBBELL INC HARVEY,32934.0,HUBBELL HARVEY INC
6137,HUBBELL INC HARVEY,32934.0,HUBBELL INC
6152,LINCOLN ELECTRIC CO,81678.0,LINCOLN ELECTRIC CO
6152,LINCOLN ELECTRIC CO,81678.0,LINCOLN ELECTRIC HOLDINGS INC
6152,LINCOLN ELECTRIC CO,81717.0,LINCOLN ELECTRIC CO
6160,PURE OIL CO,14082.0,PURE OIL CO
6164,SIGNODE STEEL STRAPPING CO,25654.0,SIGNODE STL STRAPPING CO
6191,DORR CO INC,31333.0,DORR OLIVER INC
6202,SEIBERLING RUBBER CO,22824.0,SEIBERLING RUBR CO
6220,CURTIS MFG CO,31085.0,CURTIS MFG CO
6224,SIMONDS SAW & STEEL CO,20802.0,SIMONDS SAW & STL CO
6241,BRIGGS & STRATTON CORP,17961.0,BRIGGS & STRATTON CORP
6242,BENDIX AVIAT CORP,10751.0,BENDIX CORP
6243,BAKER OIL TOOLS INC,28134.0,BAKER OIL TOOLS INC
6249,UNITED STATES GYPSUM CO,19131.0,UNITED STATES GYPSUM CO
6262,WAGNER ELECTRIC CORP,52900.0,WAGNER ELECTRIC CORP
6287,UNITED STATES STEEL CORP,15069.0,UNITED STATES STEEL CORP
6287,UNITED STATES STEEL CORP,79258.0,UNITED STATES TEL INC
6288,MULLINS MFG CORP,13282.0,MULLINS MFG CORP
6295,FOXBORO CO,27860.0,FOXBORO CO
6306,HASTINGS EQUITY GRAIN BIN MFG,32619.0,HASTINGS MANUFACTURING CO
6317,HUGHES TOOL CO,56485.0,HUGHES TOOL CO
6320,JONES & LAUGHLIN STEEL CORP,21530.0,JONES & LAUGHLIN STL CORP
6323,MURRAY CORP,15229.0,MURRAY BODY CORP
6323,MURRAY CORP,15229.0,MURRAY CORP AMER
6331,BUDD EDWARD G MFG CO,18331.0,BUDD COMPANY
6331,BUDD EDWARD G MFG CO,18331.0,BUDD EDWARD G MANUFACTURING CO
6335,PARAMOUNT PUBLIX CORP,10233.0,PARAMOUNT PUBLIX CORP
6345,ZAP DEV CORP,88273.0,ZAP
6352,STRATTON EDWARD F,39060.0,STRATTON GROUP LTD
6355,MC GILL MFG CO,52143.0,MCGILL MANUFACTURING INC
6369,REED ROLLER BIT CO,23886.0,REED ROLLER BIT CO
6387,VANADIUM ALLOYS STEEL CO,26948.0,VANADIUM ALLOYS STL CO
6414,CLEVELAND GRAPHITE BRONZE CO,19684.0,CLEVELAND GRAPHITE BRONZE CO
6415,ELECTRIC STORAGE BATTERY CO,11746.0,ELECTRIC STORAGE BATTERY CO
6418,UNITED CARR FASTENER CORP,19799.0,UNITED CARR FASTENER CORP
6418,UNITED CARR FASTENER CORP,19799.0,UNITED CARR INC
6421,INLAND STEEL CO,12458.0,INLAND STEEL CO
6421,INLAND STEEL CO,12458.0,INLAND STEEL INDUSTRIES INC
6424,KELVINATOR CORP,15683.0,KELVINATOR CORP
6429,COOK PAINT & VARNISH CO,30875.0,COOK PAINT & VARNISH CO
6453,CONTINENTAL MOTORS CORP,11463.0,CONTINENTAL MOTORS CORP
6459,HOOVER CO,27609.0,HOOVER BALL & BEARING CO
6459,HOOVER CO,27609.0,HOOVER UNIVERSAL INC
6459,HOOVER CO,42471.0,HOOVER COMPANY
6463,MATTHEWS W N CORP,80759.0,MATTHEWS INTERNATIONAL CORP
6480,WALLACE & TIERNAN INC,26956.0,WALLACE & TIERNAN INC
6487,PARKE DAVIS & CO,20001.0,PARKE DAVIS & CO
6491,TIMKEN ROLLER BEARING CO,14795.0,TIMKEN COMPANY
6491,TIMKEN ROLLER BEARING CO,14795.0,TIMKEN ROLLER BEARING CO
6510,CELANESE CORP,19027.0,CELANESE CORP
6510,CELANESE CORP,19027.0,CELANESE CORP AMER
6510,CELANESE CORP,90520.0,CELANESE CORP DEL
6522,NOMA ELECTRIC CORP,34729.0,NOMA CORP
6529,YOUNGSTOWN SHEET AND TUBE CO,15499.0,YOUNGSTOWN SHEET & TUBE CO
6538,PHILLIPS PETROLEUM CO,13928.0,PHILLIPS PETROLEUM CO
6547,KOPPERS CO DELAWARE,22170.0,KOPPERS CO
6570,FMC CORP,19166.0,F M C CORP
6602,ACME STEEL CO,10611.0,ACME STEEL CO
6605,BRUCE E L CO,38666.0,BRUCE E L CO
6622,BRITISH COLUMBIA,29882.0,BRITISH COLUMBIA PWR LTD
6648,CURTIS PUBLISHING COMPANY,17515.0,CURTIS PUBLISHING CO
6654,CONTINENTAL DIAMOND FIBRE CO,18462.0,CONTINENTAL DIAMOND FIBRE CO
6670,MAGNAVOX CO,23018.0,MAGNAVOX COMPANY
6687,SPERRY PROD INC,14525.0,SPERRY CORP
6699,WALWORTH PATENTS INC,15237.0,WALWORTH COMPANY
6713,VICTOR CHEMICAL WORKS,20925.0,VICTOR CHEM WKS
6721,FEDDERS MFG CO INC,23552.0,FEDDERS CORP
6721,FEDDERS MFG CO INC,80783.0,FEDDERS CORP
6723,NORTON CO,39300.0,NORTON CO
6733,HIGBEE DON C,41866.0,HIGBEE COMPANY
6739,HARBISON WALKER REFRACTORIES,16272.0,HARBISON WALKER REFRACTORIES CO
6777,L A YOUNG SPRING & WIRE CORP,17160.0,YOUNG L A SPRING & WIRE CORP
6788,DETROIT GASKET & MFG CO,31210.0,DETROIT GASKET & MFG CO
6795,TIMKEN AXLE CO DETROIT,14795.0,TIMKEN COMPANY
6795,TIMKEN AXLE CO DETROIT,17654.0,TIMKEN DETROIT AXLE CO
6813,FANSTEEL METALLURGICAL CORP,24918.0,FANSTEEL METALLURGICAL CORP
6821,RECLAMATION COMPANY,65956.0,RECLAMATION SYSTEMS INC
6844,UNITED RES CORP,78749.0,UNITED INTL RESH INC
6910,SUN OIL CO,14656.0,SUN OIL CO
6916,FLORSHEIM SHOE COMPANY,16950.0,FLORSHEIM SHOE CO
6916,FLORSHEIM SHOE COMPANY,81081.0,FLORSHEIM SHOE CO NEW
6939,BARRETT CO,16978.0,BARRETT RESOURCES CORP
6939,BARRETT CO,79249.0,BARRETT BUSINESS SERVICES INC
6959,UNITED AMERICAN BOSCH CORP,10188.0,UNITED AMERICAN BOSCH CORP
6962,LAMSON & SESSIONS CO,33603.0,LAMSON & SESSIONS CO
6989,CAMPBELL WYANT & CANNON CO,18024.0,CAMPBELL WYANT & CANNON FDRY CO
7012,EATON MFG CO,11762.0,EATON MFG CO
7032,UNION CARBIDE & CARBON CORP,15659.0,UNION CARBIDE & CARBON CORP
7032,UNION CARBIDE & CARBON CORP,15659.0,UNION CARBIDE CORP
7032,UNION CARBIDE & CARBON CORP,15659.0,UNION CARBIDE CORP HOLDING CO
7036,HERCULES POWDER CO LTD,18016.0,HERCULES POWDER CO
7039,BENDIX PROD CORP,10751.0,BENDIX CORP
7045,RAYBESTOS MANHATTAN INC,18286.0,RAYBESTOS MANHATTAN INC
7073,BYRON JACKSON CO,19991.0,BYRON JACKSON CO
7077,PARSONS CO RALPH M,49613.0,PARSONS RALPH M CO
7093,GILLETTE RUBBER COMPANY,16424.0,GILLETTE CO
7123,JACOBSON & COMPANY INC,46237.0,JACOBSON STORES INC
7126,CHERRY BURRELL CORP,35158.0,CHERRY BURRELL CORP
7143,AMERICAN ENKA CORP,25662.0,AMERICAN ENKA CORP
7150,BABCOCK & WILCOX CO,24854.0,BABCOCK & WILCOX CO
7160,NACHMAN SPRINGFILLED CORP,34403.0,NACHMAN CORP
7168,MUELLER BRASS CO,20503.0,MUELLER BRASS CO
7173,ELECTRIC BOAT CO,12052.0,ELECTRIC BOAT CO
7181,SYMINGTON GOULD CORP,14699.0,SYMINGTON CO
7181,SYMINGTON GOULD CORP,14699.0,SYMINGTON GOULD CORP
7186,WURLITZER CO,43027.0,WURLITZER COMPANY
7189,RAALTE COMPANY VAN,15157.0,VAN RAALTE CO
7200,STANDARD OIL CO CALIFORNIA,14541.0,STANDARD OIL CO CALIFORNIA
7203,ANACONDA WIRE & CABLE CO,10495.0,ANACONDA CO
7203,ANACONDA WIRE & CABLE CO,17689.0,ANACONDA WIRE & CABLE CO
7217,DIXIE VORTEX CO,20108.0,DIXIE VORTEX CO
7224,TORRINGTON CO,27326.0,TORRINGTON COMPANY
7273,HOUDAILLE HERSHEY CORP,17742.0,HOUDAILLE HERSHEY CORP
7274,MERCK & CO INC,22752.0,MERCK & CO INC
7274,MERCK & CO INC,22752.0,MERCK & CO INC NEW
7280,BENDIX HOME APPLIANCES INC,10751.0,BENDIX CORP
7280,BENDIX HOME APPLIANCES INC,23368.0,BENDIX HOME APPLIANCES INC
7336,GLENN L MARTIN CO,20562.0,MARTIN GLENN L CO
7338,MONSANTO CHEMICALS,18382.0,MONSANTO CHEMICAL CO
7338,MONSANTO CHEMICALS,18382.0,MONSANTO CO
7340,AMERICAN ROLLING MILL CO,17566.0,AMERICAN ROLLING ML CO
