name,gvkey_x,org,score
HARRIS KAYOT INC,5494,"Kayot, Inc.",100
HICKAM (DOW B.) INC,5620,"Dow B. Hickam, Inc.",100
HUNT (PHILIP A.) CHEMICAL,5780,Philip A. Hunt Chemical Corp.,100
JEROME GROUP INC,6250,"The Jerome Group, Inc.",100
JORGENSEN EARLE M CO,6285,Earle M. Jorgensen Co.,100
K TEL INTERNATIONAL INC,6313,"K-tel International, Inc.",100
KEYCORP  -OLD,6418,Keycorp,100
FIRST YEARS INC,6431,The First Years Inc.,100
KNICKERBOCKER TOY INC,6472,"Knickerbocker Toy Co., Inc.",100
KRELITZ INDUSTRIES INC,6501,"Therapac Division, Krelitz Industries, Inc.",100
KRUEGER (W.A.) CO,6504,W. A. Krueger Co.,100
LANGER BIOMECHANICS GROUP INC,6588,"The Langer Biomechanics Group, Inc.",100
LEHIGH PRESS INC,6652,"The Lehigh Press, Inc.",100
LINCOLN LOGS LTD,6740,The Original Lincoln Logs Ltd.,100
LITTLE (ARTHUR D.) INC,6761,"Arthur D. Little, Inc.",100
MALLORY (P.R.) & CO INC,6977,"P. R. Mallory & Co., Inc.",100
MARK TWAIN MARINE INC,7047,"Mark Twain Marine Industries, Inc.",100
METALFAB INC,7285,"Metalfab Industries, Inc.",100
MEYERCORD CO,7312,The Meyercord Co.,100
MONROE AUTO EQUIPMENT CO,7534,Monroe Auto Equipment ,100
MOORE BENJAMIN & CO,7551,Benjamin Moore & Co.,100
NATIONAL BY-PRODUCTS INC,7706,"National Products, Inc. ",100
OREGON FREEZE DRY FOODS INC,8178,"Oregon Freeze Dry, Inc.",100
PANDICK INC,8320,"Pandick Press, Inc.",100
PENN MED TECHNOLOGY INC,8435,"Penn-Med Technology, Inc.",100
PERFECT FIT INC,8482,"Perfect Fit Industries, Inc.",100
POTTER INSTRUMENT INC,8697,"Potter Instrument Company, Inc.",100
PRENTICE-HALL INC,8730,"Prentice Hall, Inc.",100
QMS INC,8846,"Minolta-QMS, Inc.",100
RHODES M H INC,9119,"M.H. Rhodes, Inc.",100
RICH (F.D.) HOUSING CORP,9123,F. D. Rich Housing Corp.,100
SARGENT INDUSTRIES INC-DEL,9415,"Sargent Industries, Inc.",100
SCHULMAN A INC,9472,"A. Schulman, Inc.",100
SCHWAB SAFE INC,9474,"Schwab Safe Co., Inc.",100
SHELLER-GLOBE,9656,Sheller-Globe Corporation,100
KEYCORP,9783,Keycorp,100
SPECTRA-PHYSICS,9929,"Spectra-Physics, Inc.",100
STOKELY VAN CAMP INC,10091,"Stokely-Van Camp, Inc.",100
TECHNICON CORP,10373,Technicon Instruments Corp.,100
TELEMINE INC,10410,"The TeleMine Company, Inc.",100
TRANZONIC COMPANIES,10703,The Tranzonic Companies,100
UNITED MERCHANTS & MANUFACTURERS INC,10915,"United Merchants and Manufacturers, Inc.",100
U S ELECTRICAR CORP,10936,U.S. Electricar ,100
U S HEALTH INC,10949,"U.S. Health, Inc.",100
U S REDUCTION CO,10966,U.S. Reduction Co.,100
U S RUBBER RECLAIMING CO,10967,"U.S. Rubber Reclaiming Co., Inc.",100
WAL MART STORES INC,11259,"Wal-Mart Stores, Inc.",100
WATKINS-JOHNSON,11312,Watkins-Johnson Company,100
WHEELABRATOR-FRYE,11459,"Wheelabrator-Frye, Inc.",100
WILLIAMS SONOMA INC,11511,"Williams-Sonoma, Inc.",100
U S INTEC INC,11794,"U.S. Intec, Inc.",100
PRICE/STERN/SLOAN INC,11928,"Price/Stern/Sloan Publishers, Inc.",100
DIRECTV,12206,"The DIRECTV Group, Inc.",100
ECONO THERM ENERGY SYSTEMS,12427,Econo-Therm Energy Systems Corporation,100
WEAREVER-PROCTOR SILEX INC,12462,"Proctor-Silex, Inc.",100
ALLWASTE INC,12842,"Allwaste Services, Inc.",100
ARCTURUS INC,12873,"Arcturus Engineering, Inc.",100
ATLANTIC GROUP INC,12973,"The Atlantic Group, Inc.",100
WARNACO GROUP INC,13990,Warnaco Inc.,100
SENETEK PLC  -OLD,14257,Senetek PLC ,100
GREEN A P INDUSTRIES INC,14281,"A. P. Green Industries, Inc.",100
TOP AIR MANUFACTURING INC,14506,"Top-Air Manufacturing, Inc.",100
AUTOMOTIVE INDUSTRIES INC-DE,14585,"Automotive Industries, Inc.",100
SIERRA ON LINE INC,14884,Sierra On-Line,100
NU WEST INDUSTRIES INC,15065,"Nu-West Industries, Inc. ",100
NETWORK GENERAL CORPORATION,15176,Network General Technology Corporation ,100
WHEELABRATOR TECHNOLOGIES INC,15246,Wheelabrator Water Technologies Inc.,100
RAWSON KOENIG INC,15413,"Rawson-Koenig, Inc.",100
U S BIOSCIENCE INC,17764,"U.S. Bioscience, Inc.",100
RYAN MURPHY INC,19593,"Ryan-Murphy, Inc.",100
DEVLIEG BULLARD INC,21062,"DeVlieg-Bullard, Inc.",100
K SWISS INC,22205,K-Swiss Inc.,100
CRYO CELL INTERNATIONAL INC,23790,"Cryo-Cell International, Inc.",100
FIRST PACIFIC NETWORKS INC,25583,First Pacific Networks ,100
MONK AUSTIN INC,25949,"Monk-Austin International, Inc.",100
PERMA FIX ENVIRONMENTAL SERVICES INC,25979,"Perma-Fix Environmental Services, Inc.",100
BROOKSTONE INC,27991,"Brookstone Company, Inc.",100
MAGNA LAB INC,28009,Magna-Lab Inc.,100
MERIDIAN DATA INC,28010,"Meridian, Inc.",100
LIBBEY INC,28462,Libbey Glass Inc.,100
MANUGISTICS GROUP INC,28744,"Manugistics, Inc.",100
FOAMEX L P,29008,Foamex L.P.,100
AT PLASTICS INC,29711,"Plastics, Inc.",100
CSL LIGHTING MANUFACTURING INC,29836,"CSL Lighting, Inc.",100
C-CUBE MICROSYSTEMS INC,30087,C-Cube Microsystems ,100
RIDE INC,30168,"The Ride, Inc.",100
BIO PLEXUS INC,30361,"Bio-Plexus, Inc.",100
U S MEDICAL PRODUCTS INC,30475,"U.S. Medical Products, Inc.",100
TREND LINES INC,30676,"Trend-Lines, Inc.",100
T NETIX INC,30948,"T-Netix, Inc.",100
HAMMONS JOHN Q HOTELS INC,31009,"John Q. Hammons Hotels, Inc.",100
SPINE TECH INC,60907,"Spine-Tech, Inc.",100
CARBIDE GRAPHITE GROUP INC,61300,"The Carbide/Graphite Group, Inc.",100
"SMART Modular Technologies (WWH), Inc.",61572,"Smart Modular Technologies, Inc.",100
BLONDER TONGUE LABORATORIES INC,61712,"Blonder-Tongue Laboratories, Inc.",100
BIOFIELD CORP \DE\,62412,Biofield Corp ,100
ASAHI AMERICA INC,62856,"Asahi/America, Inc.",100
GENTEK INC,62865,"Gentek Building Products, Inc. ",100
ON SITE SOURCING INC,63504,"On-Site Sourcing, Inc.",100
ROFIN SINAR TECHNOLOGIES INC,63651,"Rofin-Sinar, Inc.",100
"IMS Health Holdings, Inc.",63800,IMS HEALTH INC.,100
AWARD SOFTWARE INTERNATIONAL INC,63865,Award Software International ,100
VIVID TECHNOLOGIES INC,64128,Vivid Technologies ,100
PEAPOD INC,64888,"Peapod Systems, Inc.",100
STARTEK INC,64942,Startek Eng. Inc.,100
U S LIQUIDS INC,65311,"U.S. Liquids, Inc.",100
ALLERGY RESEARCH GROUP INC,65666,"Allergy Research Group/Nutricology, Inc.",100
FAROUDJA INC,65716,"Faroudja Laboratories, Inc.",100
ELECTRIC LIGHTWAVE,65907,Sumitomo Electric Lightwave Corp.,100
MPW INDUSTRIAL SERVICES GROUP INC,65948,"MPW Industrial Services, Inc.",100
TEKNI PLEX INC,66440,"Tekni-Plex, Inc.",100
INTEGRATED SENSOR SOLUTIONS INC,66667,Integrated Sensor Solutions ,100
POSCO,104598,USS-POSCO,100
EYECITY COM INC,106322,"Eyecity.com, Inc.",100
SAUER INC,110533,Sauer-Danfoss Inc.,100
ADAMS GOLF INC,112473,Adams Golf ,100
E TEK DYNAMICS INC,116431,"E-Tek Dynamics, Inc.",100
SKINVISIBLE INC,117114,"Skinvisible Pharmaceuticals, Inc.",100
MSX INTERNATIONAL INC,117801,"MSX International Engineering Services, Inc. ",100
BOTTOMLINE TECHNOLOGIES INC,118223,"Bottomline Technologies (DE), Inc.",100
PCORDER COM INC,118579,"pcOrder.com, Inc.",100
ABOUT COM INC,119214,"About.Com, Inc.",100
MAPQUEST COM INC,120215,"Mapquest.Com, Inc.",100
SCIENT INC,120955,SBI Scient Inc.,100
SOFTWARE COM INC,121615,"Software.com, Inc.",100
SEMINIS INC,121722,"Seminis Vegetable Seeds, Inc.",100
DRUGSTORE COM INC,122355,"Drugstore.com, Inc.",100
BLOCKBUSTER INC,122514,Blockbuster Entertainment Inc.,100
HOTJOBS COM LTD,122675,"Hotjobs.com, Ltd.",100
E PIPHANY INC,123995,"E.Piphany, Inc.",100
"Interactive Intelligence Group, Inc.",124038,"Interactive Intelligence, Inc.",100
BlackRock Inc.,124434,"BlackRock Financial Management, Inc.",100
POP N GO INC,126039,"Pop-N-Go, Inc.",100
CVC INC,126414,"CVC Products, Inc.",100
EXACTIS COM INC,126616,"Exactis.com, Inc.",100
ECOLLEGE COM,127436,Ecollege.com,100
REGISTER COM INC,132524,"Register.com, Inc.",100
C-CUBE SEMICONDUCTOR INC,133365,C-Cube Semiconductor II Inc.,100
AQUA CHEM INC,145873,"Aqua-Chem, Inc.",100
EVENFLO INC,146214,"Evenflo Company, Inc.",100
PROTARGA INC-REDH,146451,"Protarga, Inc.",100
NETFLIX INC,147579,"Netflix.com, Inc.",100
EVERCOM INC,148216,"Evercom Systems, Inc.",100
TransDigm Group INC,148349,"Transdigm, Inc.",100
CELERITY GROUP INC-REDH,149071,"Celerity Group, Inc.",100
CINGULAR WIRELESS LLC,152670,"Cingular Wireless II, LLC",100
SEVEN NETWORKS INC-REDH,160175,"Seven Networks, Inc.",100
MULTI FINELINE ELECTRONIX INC,160216,"M-Flex Multi-Fineline Electronix, Inc.",100
NANOSYS INC-REDH,160283,"Nanosys, Inc.",100
EGENERA INC-REDH,160740,"Egenera, Inc.",100
CORUS PHARMA INC-REDH,161799,"Corus Pharma, Inc.",100
SYNERGETICS USA INC,165179,"Synergetics, Inc.",100
VERTIS INC,165371,"Vertis Neuroscience, Inc.",100
"Coleman Cable, Inc.",165640,"Coleman Cable Systems, Inc.",100
IMARX THERAPEUTICS INC-OLD,175067,"ImaRx Therapeutics, Inc.",100
"Comverge, Inc.",176289,"Comverge Technologies, Inc.",100
"SALARY. COM, INC.",176658,Salary.com,100
AMERICAN POLYMERS INC,1541,"American Polymer, Inc.",98
INVITRO INTERNATIONAL,24036,In Vitro International,98
SANFILIPPO JOHN B & SON INC,24755,"John B. Sanfilippo & Sons, Inc.",98
BIO LOK INTERNATIONAL INC,116389,"BioLok International, Inc.",98
GUILFORD MILLS INC,5377,"_Guilford Mills, Inc.",97
IMAGE SYSTEMS INC,5880,"Inmage Systems, Inc.",97
ELECTRONIC ARTS INC,16721,"Electronic Art, Inc.",97
RADIANT SYSTEMS INC,64383,"Radant Systems, Inc.",97
SPRINT SPECTRUM L P,114588,Sprint Spectrum LP.,97
AUDIO HIGHWAY-COM,116827,audiohighway.com,97
TTM TECHNOLOGIES INC,139804,"TT Technologies, Inc.",97
AVANTEK INC,1905,"Advantek, Inc. ",96
HARVEY (R. J.) INSTRUMENT CP,5514,R. J. Harvey Instrument Corp.,96
HUMPHREY INC,5777,"Humphreys, Inc.",96
LIBBY MCNEILL & LIBBY,6702,"Libby, McNeil & Libby",96
NOVA PHARMACEUTICAL CORP,8012,Nova Pharmaceutical Co.,96
VERITEC INC,12731,"Veritech, Inc.",96
CPC REXCEL INC,12943,"CPC-Rexel, Inc.",96
PROTECTAIRE SYSTEMS CO,14533,Protectaire Systems Corp.,96
NEUROMEDICAL SYSTEMS INC,61680,"Nueromedical Systems, Inc.",96
ACS INDUSTRIES INC,1012,"A.S.C. Industries, Inc.",95
ALCON LABORATORIES INC,1248,"Alkon Laboratories, Inc.",95
ALDON INDUSTRIES INC,1251,"Avlon Industries, Inc.",95
ANDERSON JACOBSON INC,1647,"Anderson Jacobsen, Inc.",95
BARTON INDUSTRIES INC,2065,"Barron Industries, Inc",95
VERSA TECHNOLOGIES INC,11145,"Veris Technologies, Inc.",95
ZETEK INC,13165,"Zeftek, Inc. ",95
INTEGRATED SYSTEMS INC,20982,"Iterated Systems, Inc. ",95
EPIGEN INC,24766,"Eigen, Inc.",95
SBS TECHNOLOGIES INC,24832,"SSI Technologies, Inc.",95
ANALOGY INC,62450,"Analog, Inc.",95
RWD TECHNOLOGIES INC,64939,"RDP Technologies, Inc.",95
ZYMETX INC,65709,"Zymet, Inc.",95
ADVANCED POWER TECHNOL INC,138602,"Advanced Power Technology, Inc.",95
ADVANCED SWITCHING COMMUNICATIONS INC,140441,ASC - Advanced Switching Communications,95
VISICU INC,166365,"Visic, Inc.",95
AMERICAN MAIZE PRODUCTS CO,1498,American Maize-Products Company,94
CHESAPEAKE & OHIO RAILWAY CO,2977,The Chesapeake and Ohio Railway Company,94
ELECTRONIC DATA CONTROLS CP,4286,Electronic Data Controls Corporation,94
GRUMMAN AMERICAN AVIATION CP,5360,Grumman American Aviation Corporation,94
MAINE YANKEE ATOMIC POWER CP,6964,Maine Yankee Atomic Power Company,94
MATHEMATICAL APPLICATIONS GP,7110,"Mathematical Applications Group, Inc.",94
NL INDUSTRIES INC,7658,"ND Industries, Inc.",94
SCA SERVICES INC,9312,"SBC Services, Inc.",94
SL INDUSTRIES INC,9325,"SP Industries, Inc.",94
MERCER INTERNATIONAL INC.,14563,"Metre International, Inc.",94
UNIROYAL GOODRICH TIRE CO,14635,The Uniroyal Goodrich Tire Company,94
ATS MEDICAL INC,22308,"Altus Medical, Inc.",94
OPTI INC,28266,"Optim, Inc.",94
PALATIN TECHNOLOGIES INC,29086,Palantir Technologies Inc.,94
SINTER METALS INC,30869,"Sintered Metals, Inc.",94
REDLINE PERFORMANCE PRODUCTS INC,152474,"Redline Performance Products, LLC",94
COLE CONSUMER PRODUCTS INC,3163,"Clarke Consumer Products, Inc.",93
DIXON (JOSEPH) CRUCIBLE CO,4004,The Joseph Dixon Crucible Company,93
DRANETZ TECHNOLOGIES INC,4068,"Dane Technologies, Inc.",93
ELECTRONIC CONTROL SYS INC,4285,"Electronic Control Systems, Inc.",93
ERIE TECHNOLOGICAL PROD INC,4445,"Erie Technological Products, Inc.",93
EXTEK MICROSYSTEMS INC,4500,"ETEQ Microsystems, Inc.",93
GST LABORATORIES INC,4959,"Guth Laboratories, Inc.",93
HANSEN MANUFACTURING CO,5467,The Hansen Manufacturing Company,93
HAYWARD INDUSTRIES INC,5534,"Howard Industries, Inc.",93
HINES (EDWARD) LUMBER CO,5646,Edward Hines Lumber Company,93
MAGNUSON COMPUTER SYS INC,6959,"Magnuson Computer Systems, Inc.",93
OHIO BELL TELEPHONE CO,8097,The Ohio Bell Telephone Company,93
SAVANNAH FOODS & INDUSTRIES INC,9433,Savannah Foods and Industries,93
SCHLITZ (JOS.) BREWING CO,9463,Jos. Schlitz Brewing Company,93
TJ INTERNATIONAL INC,10751,"TBS International, Inc.",93
VHC LTD,11203,"VHSC, LTD.",93
YOUNGSTOWN SHEET & TUBE CO,11659,Youngstown Sheet and Tube Company,93
YOUNGSTOWN STEEL DOOR CO,11660,The Youngstown Steel Door Company,93
AMER CONSUMER PRODUCTS INC,12651,"American Consumer Products, Inc.",93
AGOURON PHARMACEUTICALS INC,13308,"Au Pharmaceuticals, Inc. ",93
MATTHEWS STUDIO EQUIPMENT GROUP,16600,Matthews Studio Equipment Inc.,93
SUNDOWNER OFFSHORE SVCS INC,22531,"Sundowner Offshore Services, Inc.",93
ADVANCED PHOTONIX INC,23616,"Advanced Photonics, Inc.",93
INTEGRATED CIRCUIT SYSTEMS INC,24190,"Integrated Circuit Systems, Ltd.",93
HEART TECHNOLOGY INC,25012,"Heater Technology, Inc.",93
UNITECH INDUSTRIES INC,31003,"United Industries, Inc.",93
PACIFIC GAS & ELECTRIC CO,65092,Pacific Gas and Electric Company,93
FREEPORT MCMORAN SULPHUR INC,65910,Freeport-McMoRan Sulphur LLC,93
CASH TECHNOLOGIES INC,112402,"CSP Technologies, Inc.",93
AETNA INDUSTRIES INC,117881,"Athena Industries, Inc.",93
PRECISE SOFTWARE SOLUTIONS LTD,137470,"Precise Software Solutions, Inc.",93
CHORUM TECHNOLOGIES INC,141385,Chorum Technologies LP,93
TECHNICAL CONSUMER PROD INC,145657,"Technical Consumer Products, Inc.",93
TRX INC,163933,"TYRX, Inc.",93
AMALGAMATED SUGAR CO,1362,The Amalgamated Sugar Company,92
BURLINGTON NORTHERN SANTA FE CORP,2490,The Burlington Northern and Santa Fe Railway Company,92
CHEMFIX TECHNOLOGIES INC,2962,"Chemica Technologies, Inc.",92
COMPUTER ENTRY SYSTEMS CORP,3320,"Computer Entry Systems, Inc.",92
CONTICO INTERNATIONAL INC,3450,"Contico International, LLC",92
DAVEY TREE EXPERT CO,3801,The Davey tree Expert Company,92
EHRENREICH PHOTO-OPTICAL IND,4234,Ehrenreich Photo-Optical Industries Inc. ,92
HALL (W.F.) PRINTING CO,5435,W. F. Hall Printing Company,92
HOUDAILLE INDUSTRIES INC-OLD,5725,"Strippit Division, Houdaille Industries, Inc.",92
LSB INDUSTRIES INC,6528,"Lasa Industries, Inc.",92
MAINSTREAM ENGINEERING INC,6965,Mainstream Engineering Corp.,92
MAXON INDUSTRIES INC,7122,"Moen Industries, Inc.",92
PALMER (ARNOLD) GOLF CO,8782,The Arnold Palmer Golf Company,92
SYSTEMS & COMPUTER TECHNOLOGY CORP,10252,Systems and Computer Technology Corporation,92
UNIMED PHARMACEUTICALS INC,10848,"UNIMED PHARMACEUTICALS, LLC",92
WOLVERINE TECHNOLOGIES INC,11565,"Wolverine Technology, Inc.",92
LEARNING TECHNOLOGY INC,12117,"Learning Technologies, Inc.",92
VERTICOM INC,12207,"Verdicom, Inc.",92
TEKELEC,12212,Tekélec,92
OPTICORP INC,14907,"Opticord, Inc.",92
LIBERTY TECHNOLOGIES INC,28019,Lambert Technologies Inc,92
MACROMEDIA INC,29381,"Macromed, Inc.",92
ATRIA SOFTWARE INC,30204,"Aatrix Software, Inc.",92
MCDERMOTT J RAY SA,60848,"J. Ray McDermott, S.A.",92
PORTAL SOFTWARE INC,120300,"Pivotal Software, Inc.",92
PACKARD BIOSCIENCE CO,134451,Packard Bioscience Corporation,92
ROSETTA INPHARMATICS INC,138470,Rosetta Inpharmatics LLC,92
ALLIANCE FIBER OPTIC PRODUCTS INC,141236,Alliance Fiber Optics Products,92
CADMUS COMMUNICATIONS CORP,2602,Cadmus Communications Company,91
DURA-PLEX INDUSTRIES INC,4104,"Duralux Industries, Inc.",91
FLUOROSCAN IMAGING SYS INC,5541,"Fluorscan Imaging Systems, Inc.",91
MAGNETIC METALS CO,6955,Magnetic Metals Corporation,91
MAGNETIC TECHNOLOGIES CORP,6956,Magnetic Technologies Ltd.,91
PICO PRODUCTS INC,8573,"PENCO PRODUCTS, INC.",91
PRODUCTION OPERATORS CORP,8770,"Production Operators, Inc. ",91
TOLEDO TECHNOLOGY INC,10602,Toledo Technologies Inc.,91
SYNERGEN INC,11949,"Syngen, Inc.",91
BRENNER INTERNATIONAL INC,12202,Brenner International Corp.,91
NATIONAL CAR RENTAL SYSTEMS,12457,"National Car Rental System, Inc.",91
AVONDALE INDUSTRIES INC,14325,"Alandale Industries, Inc.",91
PLUM CREEK TIMBER CO INC,15709,"Plum Creek Timber Co., L.P.",91
DARLING DELAWARE CO,21437,"Darling-Delaware Company, Inc.",91
ELECTROCOM AUTOMATION INC,24882,"ElectroCom Automation, L.P. ",91
BALLARD POWER SYSTEMS INC,28724,Ballard Power Systems Corporation,91
STMICROELECTRONICS NV,31142,"STMicrocelectronics, Inc.",91
YORK GROUP INC \DE\,62564,"The York Group, Inc.",91
ECHELON INTERNATIONAL CORP,64112,"Echelon International, Inc.",91
GENERAL SEMICONDUCTOR INC,65144,"General Semiconductor of Taiwan, Ltd.",91
GALILEO INTERNATIONAL INC,65163,Galileo International Partnership,91
NEWCOM INC,65416,"NEWRACOM, Inc.",91
CONRAD INDUSTRIES INC,111282,"Conbraco Industries, Inc.",91
CURTIS INTERNATIONAL LTD,115163,"Curtis International, Inc.",91
MMI PRODUCTS INC,117961,"MM&R Products, Inc.",91
MUTUAL OF OMAHA CO,123534,Mutual of Omaha Insurance Company,91
COORSTEK INC,127575,"Cortek, Inc.",91
TRAVELOCITY COM INC,132605,Travelocity.com LP,91
R2 TECHNOLOGY INC,146619,"Raj Technology, Inc.",91
MEDCOHEALTH SOLUTIONS  -REDH,148225,"MedcoHealth Solutions, Inc.",91
ANADYS PHARMACEUTICALS INC,157414,Anda SR Pharmaceuticals Inc.,91
"DreamWorks Animation SKG, Inc.",160912,DreamWorks Animation LLC,91
ALION SCIENCE & TECHNOLOGY CORP,162796,Alion Science and Technology Corporation,91
SMED INTERNATIONAL INC,208625,Spec International Inc.,91
SCHERER HEALTHCARE INC,1324,Scherer Healthcare Ltd.,90
AMCORD INC,1391,"Ampcor, Inc.",90
AMERICAN TECHNICAL IND,1578,"American Technical Institute, Inc.",90
AMERICAN WELDING & MFG CO,1588,American Welding & Manufacturing Co.,90
ANADARKO PRODUCTION CORP,1629,Anadarko Production Company,90
BIOCELL TECHNOLOGY CORP,2223,"Biocell Technology, LLC",90
BIRTCHER MEDICAL SYSTEMS,2252,"Birtcher Medial Systems, Inc.",90
BLOCK ENGINEERING INC,2268,"Block Engineering, LLC",90
CLAROSTAT MANUF CO INC,3098,"Clarostat Mfg. Co., Inc.",90
COMPUTER DEVICES INC,3317,"Computer Service, Inc.",90
DICKEY (W S) CLAY MFG CO,3941,W. S. Dickey Clay Manufacturing Co.,90
GIBSON-HOMANS CO,5162,The Gibson-Homans Company,90
GLATFELTER P H CO,5179,P. H. Glatfelter Company,90
HARLAND JOHN H CO,5476,John H. Harland Company,90
HAYDON SWITCH & INSTR INC,5531,"Haydon Switch & Instrument, Inc.",90
INFORMATION RETRIEVAL SYS CP,5960,Information Retrieval Systems Corp.,90
INTERFACE SYSTEMS INC,6035,"Intercane Systems, Inc.",90
INTL ROBOMATION/INTELLIGENCE,6098,International Robomation/Intelligence,90
LODGE & SHIPLEY CO,6777,The Lodge & Shipley Company,90
MEDCOM INC,7197,"Modcom, Inc. ",90
METAL ARTS CO INC,7283,"The Metal Arts Company, Inc. ",90
NATIONAL ACME CO,7701,The National Acme Company,90
NBS TECHNOLOGIES INC,7705,"NDT Technologies, Inc.",90
REVERE COPPER & BRASS INC,9103,Revere Copper and Brass Incorporated,90
SCOTT (O.M.) & SONS CO,9508,The O. M. Scott & Sons Company,90
SOFTECH INC,9786,"Sofec, Inc.",90
STROH BREWERY CO,10122,The Stroh Brewery Company,90
TECHNOLOGY 80 INC,10378,"Technology, Inc. 64",90
WAXMAN INDUSTRIES INC,11318,"Warn Industries, Inc.",90
INTL GENETIC ENGINEERING INC,12276,"International Genetic Engineering, Inc.",90
NOWSCO WELL SERVICE LTD,12323,"Nowsco Well Service, Inc.",90
DIAGNOSTIC MEDICAL INSTR INC,12416,"Diagnostic Medical Instruments, Inc.",90
AP INDUSTRIES INC,13444,"Alco Industries, Inc.",90
CURTIS INDUSTRIES INC,14873,Curtis Industries LLC,90
SOFTWARE TOOLWORKS INC,14876,The Software Toolworks,90
ROBEC INC,19477,Rotobec Inc.,90
APPLIED INNOVATION INC,21144,Applied Innovation & Manufacturing Ltd.,90
SMARTIRE SYSTEMS INC,24281,"SMARTDRIVE SYSTEMS, INC.",90
BDM INTERNATIONAL INC,25438,"BHS International, Inc.",90
ALDEN PRESS CO,25664,"Alden Press, Inc.",90
MADGE NETWORKS NV,29079,Madge Networks (New Jersey) Inc.,90
DAW TECHNOLOGIES INC,29317,"4DK Technologies, Inc.",90
DT INDUSTRIES INC,30068,Dalow Industries Inc. ,90
EPL TECHNOLOGIES INC,31352,"Eliad Technologies, Inc.",90
TITAN TECHNOLOGIES INC,62207,"Titan Technology, Inc.",90
ANSYS INC,63080,"Agensys, Inc.",90
TEARDROP GOLF CO,64200,Teardrop Ram Golf Company,90
