ein,name
900898945,jefferson memorial community
746042565,fondren
204948182,enoch trust
841408520,malone family
330885955,troesh family
561954114,john m belk endowment
200527223,merkin family
132989476,new york life
566042532,cannon   inc
137147287,karsh family
954292101,the california wellness
386099935,carls
237011002,sue & edgar wachenheim
580566149,john bulow campbell
203221183,mulva family
346519769,george gund
133102941,leon and toby cooperman family
131667057,john a hartford
131951698,sherman fairchild   inc
990078890,liliuokalani trust
166030037,margaret l wendt
770560142,kavli
626041468,maclellan   inc
136088860,overbrook
541604427,freedom forum inc
237425637,the walt and lilly disney
61600601,zoom
222621967,ge
260799587,the heising-simons
300127892,new york state health
453996122,ghr
204170342,the schmidt family
205132900,rees-jones
201232852,taft
320341358,wood-claeyssens
770443347,cisco systems
131773646,jacob & valeria langeloth fdn
954712250,louis & gladyce foster family
203759208,s d bechtel jr
222472914,peter r and cynthia k kellogg
461233894,daniello family   inc
232130928,air products
201867709,edgerley family
166071043,park   inc
611583546,hellman
526021749,zachary smith reynolds trust
416019050,otto bremer trust
133598005,the stanton
770257009,noyce
810587194,the piton investment fund
201922947,the brin wojcicki
621134070,the frist
270521354,moise y safra   inc
391300476,herbert h kohl charities inc
311551093,terry
752734057,hamon charitable
208446997,van andel fund inc
710935903,caerus   inc
223732524,donald and paula smith family   inc
510155772,e rhodes and leona b carpenter
411306950,medtronic
581574705,the coca-cola   inc
526200123,emerson elec charitable trust
453444341,pyramid peak
936021893,collins
222948675,max and marian farash charitable
650188171,the batchelor   inc
61157888,stanley family
133741954,moore charitable   inc
383224966,ronda e stryker & william d johnston
471545801,stolte family
516001265,mt cuba center inc
386060276,rollin m gerstacker
943358729,pg&e corporation
386041517,herrick
946064808,henry j kaiser family
770348912,sobrato family
546052978,sands family   inc
137068398,robertson
830271536,newell b sargent
742691624,mays family
223692921,matan bseter   inc
221713046,hess   inc
208068401,pershing square
522284478,s & r
223281672,harold alfond
256774871,annenberg   trust at sunnylands
363487811,zell family
581295620,cawood   inc
221554541,victoria   inc
436689416,the harry j lloyd charitable trust
956093178,joseph drown
746043368,george
746047149,henderson-wessendorff
223850021,safety net
465588406,the richard m schulze family
621558722,assisi   of memphis inc
366108775,lloyd a fry
47024330,adelson family
262583590,fund for humanity united
366975534,dr ralph and marian falk medical research trust
222751372,l g balfour
454696263,leducq   for cardiovascular research
237336418,suntrust
136107758,horace w goldsmith
581687028,tull charitable   inc
207415160,pisces
256627704,neubauer family
223655770,henry m rowan family   inc
311192929,kroger co
756023326,odonnell
720423887,baptist community ministries
910745225,medina
956060162,thomas and dorothy leavey
954788738,maytiv
416017815,bush
651057724,flight attendant medical research institute inc
942618409,hewlett packard co
276987913,heavenly fathers
363994447,the walsh
203822168,newton and rochelle beckercharitable trust
346565830,veale
135562237,charles hayden
341948246,margaret clark morgan
541685158,the pauley family
586066677,o wayne rollins
330273191,stewardship
521202740,geico philanthropic
222533743,the emily hall tremaine   inc
263791338,jane and daniel och family
550838858,albert l ueltschi
870503163,wheeler
820516178,micron technology   inc
300434789,mike kelley   for the arts
134069592,keren keshet-the rainbow
953979100,max h gluck   inc
300206688,robert and adele schiff family   inc
946102700,mcconnell
562446941,segal family   inc
421415998,aegon transamerica
166445118,the tianaderrah   c/o robert l gipson
201914298,dhanam
133354308,robert david lion gardiner   inc
566022339,dickson   inc
223468030,kovner
356066023,regenstrief   inc
750827445,hendrick home for children trust
760699250,hildebrand
521270464,the morningstar
611714573,bhp billiton
736097262,masonic charity   of oklahoma
132041622,norcross wildlife   inc
200897153,wiregrass
43236375,genzyme charitable   inc
480873431,kansas health
160874319,john r oishei
746051746,the elkins
382876435,ruth mott
416020204,bentson
542074788,james s mcdonnell
741936869,valley baptist legacy
464347021,aphorism
202572529,cy twombly
43334973,ruderman family
760519073,kinder
206881642,kendeda fund
521632596,james e and diane w burke   inc
137385769,virginia b toulmin charitable   iii 20-102080246164
386575227,meijer
411941615,united health
516015916,welfare   inc
46856456,the grantham   for the protection of the environment
756000331,amon g carter
510232651,f r bigelow   trust 555
562305694,rosalinde and arthur gilbert
223556325,heller family   inc
770500183,flora family
306085406,leon levy
956202911,carrie estelle doheny
133781879,citi
356070695,john w anderson
866331657,the hickey family
946066229,lakeside
472497511,richard brooke
942506257,bernard osher
200533204,mr and mrs samuel oschin family
561582536,arborcrest gardens inc
366108293,polk bros   inc
475393758,pietro and elvira giorgi
726278911,lucille s beeson charitable remainder 66 1055001761
237237919,eugene mcdermott
237169959,coif charities investment fund
356644088,nina mason pulliam charitable tr
131659619,china medical board inc
137210814,band   charitable tr
135637595,whitehall   inc
366069632,clara abbott
446013840,r c kemper jr charitable trust &
596368632,jessie ball dupont religious charitable & educational fund
300108102,triad   inc
137548507,the zegar family
46026301,perpetual trust for charitable giving
466854005,montana healthcare
437037871,mysun charitable
942822302,california physicians service
860653091,kemper & ethel marley
597241019,edward n and della l thome memorial
237028399,roy and patricia disney family
134151973,willem de kooning
746078530,carl c anderson sr and marie jo anderson charitable
133321196,the oak   usa
46036558,amelia peabody
766040840,huffington
133341521,the marie-josee and henry r kravis
46131201,fidelity
316045992,maxon
521558571,claude moore charitable
751977748,helen jones   inc
226054882,atlantic
756036226,kimbell art
943289283,kenneth rainin
760647361,cullen   06272000
541850780,bailey family   inc
363608619,securian
276977311,thirteen
208025266,elaine and sydney sussmanfoundation inc
382132136,general motors   inc
223846401,liana   inc
756029882,priddy
113276603,capital one   inc
941655673,william & flora hewlett
446006291,hall family
742904514,valero energy
516010168,champlin fdn t-a 1156826
330200133,the marisla
261699444,melalucca
800424607,wallace global fund ii
471716810,theodore j forstmann charitable trust
472480352,the 1434   inc
202204909,carole and barry kaye   inc
741239819,h e butt family
581803562,the peyton anderson   inc
366068724,dr scholl
61603158,halvorsen family
956051770,david c copley
943377099,crankstart
131623901,for child development
237028238,hamill
136115217,elizabeth morse genius
370661194,christian buehler memorial
311259480,clement and ann buenger
50547000,phillip and susan ragon
943340371,priem family
341319236,the paul and carol david
135673173,john simon guggenhein memorial
351528135,dekko   inc
526036106,abell   inc
741334356,wortham
943235545,sapling
352032393,brighton   trust
592785945,roy m speer
30373895,james f and marion l miller
300125798,deborah joy simon
204952986,sea change
237093201,the nathan cummings   inc
43339572,the morningside
131770307,john and mary r markle
440527122,linda hall library trust
237108002,maybelle clark macdonald fund
446011082,sunderland
996005445,harold k l castle
200235689,willard and pat walker charitable   inc
237094777,frey
136089184,pincus family fund
481308657,greehey family
426057097,hall-perrine
597276551,lewis humphreys charitable trust
133415874,george l ohrstom jr   inc
463396538,eric p and evelyn newman charitable
954693145,colburn
364347781,pritzker traubert family
860870436,timothy t day   inc
911663336,the russell family
980590515,boris lurie art
770456449,the 1440
136881103,carmel hill fund
850429439,marshall l and perrine d mccune charitable
134228589,robert e and jenny d kirkland
954249502,terasaki family
860891827,william and mary ross   inc
956038762,wasserman
770278838,arthur n rupe
746053075,john p mcgovern
202028290,endowment for regional sustainability science
204942461,denny sanford
751315145,san angelo health
205088833,spanx by sara blakely   inc
542135984,carol and ralph haile jr
200882784,elbridge stuart
954804766,colburn music fund
136176041,gilder   inc
61057387,connecticut health   inc
363555046,negaunee   ltd
367244615,searle freedom trust
300839745,roy cockrum
900918808,bayer us patient assistance
205848514,tower family fund inc
954658856,capital group companies charitable
131624021,william t grant   inc
263533035,james w and frances gibson mcglothlin
46626994,libra   owen w wells trustee
237175983,plough
866324455,tr ua 06162003
463176081,isenberg family charitable   inc
421391990,iowa west
161636254,biogen   inc
942967074,roberts
371439047,samerian   inc
261595284,136 fund
371547019,joanie jeanne and howard bernard   inc
136015562,louis calder
741143071,paso del norte health
386065799,elsa u pardee
366088708,childrens care
474921414,hummel family
416020920,fred c and katherine b andersen
141864317,td charitable
521491609,leonard and helen r stulman charitable   inc
272818091,john r eckel jr
272009342,paul e singer
222648036,maximilian e & marion o hoffman   inc
237097393,watson-brown   inc
200749384,terwilliger family   inc
911428508,biella
347206415,ruth lilly philanthropic
273900238,doctorbird
581505902,the university financing   inc
311351011,l and l nippert charitable   inc
263587489,mike and gillian goodrich charitable
611249998,r c durr   inc
363442474,charles and margery barancik
136170340,booth ferris
363917968,woods fund of chicago
205682977,lor   inc
10387404,elmina b sewall
720938097,irene w and c b pennington
326176805,stowers
411680986,steven c leuthold family
311540383,walter j & betty c zable
366673112,thomas lyle williams trust
391688812,theodore w batterman family   inc
581691765,john william pope
880391959,the lemelson
236266377,the steinman
136015951,leon lowenstein   inc
376022314,caterpillar
916020515,stewardship   c d a b & w t weyerhaeuser ttees
133319048,verizon
43255974,swartz
270406313,wildflower   inc
942618667,college futures
742170127,cynthia & geo mitchell
366066240,offield family
43600502,seedlings
611004763,humana   inc
651058044,jim moran   inc
455246642,seward johnson atelier inc
222620908,russell berrie
50620063,charter fund inc
136161765,hochstein   inc
560690140,mary reynolds babcock   incorporated
570901832,alabama power   inc
581365128,dorothy v & n logan lewis   inc
382476813,orville d & ruth a merillat
43333757,bert l & natalie k vallee   inc
141893520,liberty mutual   inc
592469696,the mary alice fortin
10789717,angell
586004644,lettie pate evans   inc
261300940,the cupid   inc
456659303,richard and helen devos
222344110,nicholson
133267906,ibm international
941611668,y & h soda
396056375,ruth st john & john dunham west   inc
208044292,skip viragh   inc
346555349,kelvin and eleanor smith
136092448,j c kellogg
954575007,hattori
310549056,charles f kettering
421186589,roy j carver charitable tr
300031117,the@libra
364061509,david f and margaret t grohne family
363261347,the richard h driehaus
953694741,w w w
237256190,trailsend
203985244,alexander   inc
200097152,cameron
223769157,boye   inc
954155986,the goldrich family   c/o jona goldrich
346514235,hcs
226063382,merck family fund
726022666,goldring family
237180712,thomas j long
760174893,baxter trust
261380672,tom t east sr & alice k east & alice h east & robert c east wildl
133180806,the selz
263375286,empire health
756004080,the caldwell
207399767,skaggs   for research
731167175,ethics and excellence in journalism
201063909,enlight
133918276,kolatch family
650300004,david r clare and margaret c clare
133753217,david berg   inc
954701699,dart - l
316019680,jacob g schmidlapp tr uw
760288131,moody gardens inc
366109323,motorola solutions
621586727,poplar
954724825,gene haas
611467176,lola g duff & william duff ii scholarship fund
586033293,harley langdale jr   inc
133693585,the laurie m tisch   inc
331093993,two red roses   inc
10498551,john t gorman
237364949,amelia peabody charitable fund trs
223565747,esther & otto seligmann   inc
61498953,seven bridges   inc
47023433,dr miriam and sheldon g adelson medical research
364156972,tully family
611504200,tf educational
586255314,tw ld mceachearn
461702755,edwards lifesciences
46023784,george i alden trust
131740463,lavelle fund for the blind inc
237792979,1994 charles b degenstein
436048614,eric p newman numismatic education society
133424750,educational   of america
411359579,u s bancorp
467048885,robert and jean reid family
141859319,david e simon & jacqueline s simon charitable
341595929,nord family
46050704,ellison
204822537,micky and madeleine arison family
133132117,greentree
330466189,leichtag
136123529,american express
156017723,allyn   inc
383199649,cascade hemophilia consortium
203319727,danville regional
46108344,edward c johnson fund
351187105,kosciusko 21st century   inc
237376427,helen brach
232698492,the sidney kimmel
276669056,himan brown charitable tr
202303140,the usaa   inc
43541595,shapiro
582176142,chantal and tommy bagwell   inc
730776064,warren charite
943218106,fritz b burns
731373991,meinig family
237015570,shipley   inc
592667398,the celia l and victor w farris   inc
223483828,george h and estelle m sands
746061447,george & mary josephine hamman
751534816,ch
541568843,gannett foundations inc
201986583,san simeon fund
200478828,valhalla charitable
113579520,yale fishman
581681920,reynolds american
510404790,the vilcek   inc
942992640,metta fund
742804730,ed
310536670,jhsi inc
273345774,for a just society
136204325,edward & sandra meyer   inc
272992779,john and polly sparks
202865906,c w and dorothy g love   inc
411955286,robins kaplan miller & ciresi   for children
756023767,j f maddox
416018495,general mills
136119422,edmond de rothschild
132879673,thomas and agnes carvel
202155550,paul b hunter & constance d hunter charitable   inc
943274370,john and marcia goldman
262527362,scharbauer   inc
133555671,tiger
522136842,the keith campbell   for the environment inc
464169300,one gas   inc
471300668,john & denise graves
251309888,grable
364794505,wyatt
271602489,impetus
380808800,mcgregor fund
222625990,wells fargo regional
136019226,william randolph hearst
841549096,stone family
943167546,lisa and douglas goldman fund
364597768,carson-myre charitable
205885752,johnny carson
770150580,monterey bay aquarium research institute
266908382,oprah winfrey charitable
730736496,sarkeys
306397680,davis elkins   ua 09202013
363104071,westlake health
766050185,robert & janice mcnair
346598971,burton d morgan   inc
133807627,maurice sendak   inc
311810011,oak hill fund
582507031,anverse inc
263922404,quantitative
136206624,pinkerton
136066172,bunbury company inc
356247168,english-bonter-mitchell
954396044,macdonald family
237406010,geraldine r dodge   incorporated
581890927,zeist   inc
113161054,joan mitchell   inc
131624176,samuel h kress
357085377,motulsky fam
954624483,helen and wil webster
381459376,ford motor co fund
223074635,l a w   inc
431369856,robert w plaster   inc
471737532,mcjunkin family charitable   inc
954861421,broad reach
264377643,overdeck family
366078558,spencer
136099176,ups   inc
346577710,gar
391776268,pat and jay baker   inc
346546420,morton & barbara mandel family
943192365,baker street
223500313,david tepper charitable   inc
363092220,the lawrence pucci wedgwood society of chicago
591731934,hall halliburton   inc
363159396,the baxter
943094857,goldman environmental
650200989,robert rauschenberg
366046879,bp   inc
226921358,einhorn family charitable trust
746076993,cockrell
366069793,abbott fund
720539603,zemurray
750989260,milton e daniel trust
751638517,the burnett
581815651,marcus   inc
582418091,healthcare georgia   inc
760324538,david weekley family
300654055,ewing halsell
271510984,kelly family   inc
431512191,johnny morris
597229565,co tua r & j kott memorial char
46029103,henry p kendall   trust
263919459,phillip t and susan m ragon
166063485,oconnor
386041518,sage
133157279,j t tai & co   inc
526035023,hecht levi   inc
481286405,the@macmillan family   inc
161578255,harry t mangurian jr   inc
133456684,arnhold   inc
546882525,james and beatrice salah charitable trust
954073646,the milken family
46977585,kermit g phillips ii charitable tr
232573295,the arthur j glatfelter
330868088,the@david and diana sun
237000850,brunckhorst
311585141,jay stein   trust
946065226,wallace alexander gerbode
942975159,gabelli   inc
382708636,dte energy
476804615,article seventh tr uwo john strang
330436485,jean perkins
251721100,the heinz endowments
752442749,jane and john justin
387095011,jeffrey carlton
581996431,carlos and marguerite mason
383886828,bently
586033966,anne cox chambers   inc
954769888,chuck lorre family
382531814,richard and jane manoogian
912073258,bezos family
721282688,stuller family
611502893,henry hammond cobb jr
396096593,chipstone
650379356,schoen
610724060,james graham brown   inc
330340635,alliance healthcare
454047901,marion and henry bloch family
640656341,ergon   inc
261622021,la vida feliz
461509070,brothers brook
541530891,mary morton parsons
363925857,foglia family
383926408,democracy fund inc
201679943,addison hines charitable tr
656072965,blair
131687573,max & victoria dreyfus
236404136,arthur s demoss
471645999,julian grace
261346418,querrey simpson charitable
810108184,bair ranch
341560893,william j & dorothy k oneill   inc
237423500,bny mellon   of southwestern pennsylvania
386068090,gerber
916056738,boeing company charitable trust
133838457,the pierre and tana matisse
346512433,elizabeth severance prentiss
134069969,american art   inc
352378788,rx outreach inc
391931309,henry j predolin   inc
460827839,abbvie
237003595,walter s johnson
746035556,abe & annie seibel
476309118,charles t bauer charitable
461630463,blue guitar
546039157,robert g iii and maude morgan cabell
133675545,charina endowment fund inc
311698286,beveridge family   inc
223808507,johnson art and education foundatio n inc
205968142,secunda family   inc
366124598,davee
46689934,the john and mary corcoran family
366106074,lavin family
10568837,bonney family   inc
42747025,harry l bradley jr charitable fund
261622217,orr family
131982683,ambrose monell
546038902,the landmark
956054814,weingart
830168511,whitney benefits inc
226100525,henry & marilyn taub
266112299,fund for individual potential
136162575,wallace genetic   inc
516015063,crystal trust ua dtd 12-25-47 irenee dupont jr ttee
223804398,health   for western & central new york inc
201768874,buffett early childhood fund
452978045,hirani family
943256331,thomas and stacey siebel
376416138,the dunham fund
131623879,altman
363689650,george m eisenberg   for charities
363025967,coleman   inc
231162215,harry c trexler estate
392039495,joy   inc
770546893,avis family
462174223,high point community health fund inc
562305290,ludwig fam   inc
382314603,dow chemical company
341627457,richard j fasenmyer
46878795,phillip and elizabeth gross family
566533546,goodnight educational
136039262,hugh l adams charitable trust
346505038,raymond john wean
20537670,the high q   inc
480674648,walter s & evan c jones trust bank iv kansas na ttee
133637444,robert s kaplan
453560703,sea scout base galveston
680299542,oberndorf
133936131,walbridge fund
416020221,cargill
364154510,schuler family
237090011,richard and susan smith family
351546655,fourth freedom forum inc
596159693,arthur vining davis
592891582,lucy gooding charitable   trust
270226408,the ariel
510390132,comcast
273667312,egl charitable
530241716,eugene & agnes e meyer
136223609,weill family
626125481,joe c davis
273406311,pussycat
272203213,williams family private
223478123,robert d goldfarb
416025661,j a wedum
133252800,avi chai
261412296,fund for wisconsin scholars inc
273571791,agape tou abba
820568453,philip e ratcliffe   inc
946108897,the hofmann family
616295351,the@robert p rotella
841245939,avenir   inc
133445910,ronald s lauder
456644674,nobbs family
841264186,gill
521499358,w dale brougher   inc
541390453,united company charitable
452713666,bob and renee parsons
570847444,the fullerton   inc
522029911,sandy river charitable
346580925,albert j weatherhead estate trust uw item iv national city bk of cle
316063407,marge & charles j schott
746478848,tobin endowment tr
383353746,detroit employment solutions corporation
311758218,a glimmer of hope
133127947,bristol-myers squibb   inc
911265474,foster
366018526,barker welfare
956038921,norton simon art
223451664,healthcare   of new jersey inc
954325051,auen
586038145,z smith reynolds   inc
752682536,dian graves owen
756020781,abell-hanger
943402266,the leonard and sophie davis fund
591002714,applebaum   inc
752717755,charles & lois marie bright
456310545,elaine p wynn and family
611356020,jasteka   inc
272924204,ndpi   inc
364254944,hogan family
306089834,gianforte fam charitable tr
356932749,danoff fam private charitable   tr
311812245,the schiewetz   inc
311257219,mathile family
311189885,richard m fairbanks   inc
416011054,charles & ellora alliss educational
237019796,james m johnston trust for charitable education
200405627,glenn greenbeg and linda vester   inc
237159802,robert l and kathrina h maclellan
760206844,john m oquinn
760491186,albert and margaret alkek
561870844,o temple sloan jr
311496872,harvest   of the piedmont
300095016,the samuel and jean frankel jewish heritage
136309307,helene fuld health trust
611400416,claude and betty harris   inc
472531318,jaideep and rachel khanna
731521975,hille family charitable
466430041,san francisco hope
752022746,presbyterian village north
136085929,william s paley   inc
590669460,winter park health   inc
61606588,newmans own
850457010,thornburg
742639794,semnani family
356202479,eli lilly and company
656474256,cornelia t bailey charitable trust
208559135,gerstner family
132890749,yawkey
650121068,the elsie & marvin dekelboum foundaton inc
356766677,moglia family
383716011,william m wood
464207574,donum dei   inc
330879062,tarsadia
203510478,tarble
366072793,e l cord
954617492,mozilo family
363907862,the dorothy b davis family
481107753,m r and evelyn hudson
356021003,mcmillen   inc
463022974,goizueta   inc
221559427,fannie e rippel
880457469,the steven g mihaylo
436855044,tsf
954245076,s mark taper
136071886,seth sprague educational & charit able
42103958,cambridge homes
366108460,gaylord and dorothy donnelley
232149972,the s dale high family
364098513,perkins malo hunter
586271249,the edward c fogg iii and lisbeth a fogg charitable trust
208033091,griffith r harsh iv and margaret cwhitman charitable
135562398,trustees of the sailors snug harbor in the city of new york
203390787,the@w duke kimbrell family
131340512,axa   inc
201973760,ayz family
133965896,soros economic development fund
841101901,swanee hunt family
366050191,awh
136594279,ramapo trust
205145945,fernando a salinas trust
421425846,matthew bucksbaum family
200471034,blue cross & blue shield of mississippi
276377439,tansy charitable
453999758,guill family   inc
541907305,mcglothlin
237997212,rts family
366765844,frankel
135605371,charles a frueauff   inc
461311138,mitchell family
260462996,blackstone charitable
362167769,king-bruwaert house
471340254,g a foster legacy
203510307,johnson controls   inc
941643626,the joseph and vera long
911215725,college spark washington
471476998,foster family charitable
364790340,foster family
471512976,louis and gladyce foster family
206375470,poses family
521633658,the cecil and irene hylton   inc
352049624,ulead inc
341757149,alex g nason   inc
596875441,the spurlino
736177739,h a & mary k chapman charitable trust
752732192,ben and maytee fisch
203421717,campion
43000345,feigenbaum   inc
526058340,clark-winchcole
911644205,raynier institute &
237410867,walter and karla goldschmidt
742364289,alsam
202734721,beacon   inc
650415977,dunns   for the advancement of right thinking
134151366,shapiro-silverberg
223317340,eastern bank charitable
526054332,arthur w perdue   inc
